Название,2022-12-10,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-21,2022-12-23,2022-12-25,2022-12-29,2023-01-02,2023-01-07
Живая капля,-1.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
Кристальная,-1.0,350.0,-1.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
Горный оазис,-1.0,340.0,-1.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0
Лидер,-1.0,350.0,-1.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0
Артенза,-1.0,270.0,-1.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
Любимая,-1.0,250.0,-1.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
Чебаркульский исток,-1.0,-1.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
Ниагара,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Власов ключ,-1.0,-1.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0
Люкс,-1.0,-1.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0
